astrocytoma,Gene,Uniprot,Protein,Overexpression,Affinity 000,Type 000,SMILES 000,ID 000,Affinity 001,Type 001,SMILES 001,ID 001,Affinity 002,Type 002,SMILES 002,ID 002
astrocytoma,CDC2,P06493,Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (EC 2.7.11.23) (Cell division control protein 2 homolog) (Cell division protein kinase 1) (p34 protein kinase),23.38,0.1,IC50,NS(=O)(=O)c1ccc(Nc2ncc(c(Nc3ccc4nc[nH]c4c3)n2)C(F)(F)F)cc1,50164702,0.23,IC50,O=C1Cc2c([nH]c3ccc(cc23)N(=O)=O)-c2cc(CCC#N)ccc2N1,84533,0.49,IC50,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13,2579
astrocytoma,PBK,Q96KB5,Lymphokine-activated killer T-cell-originated protein kinase (EC 2.7.12.2) (Cancer/testis antigen 84) (CT84) (MAPKK-like protein kinase) (Nori-3) (PDZ-binding kinase) (Spermatogenesis-related protein kinase) (SPK) (T-LAK cell-originated protein kinase),20.05,0.38,IC50,NCc1ccc(cc1)-c1c(O)ccc2[nH]c(=O)c3sccc3c12,148993,0.43,IC50,CC(C)(N)c1ccc(cc1)-c1c(O)ccc2[nH]c(=O)c3sccc3c12,149054,0.5,IC50,NCCc1ccc(cc1F)-c1c(O)ccc2[nH]c(=O)c3sccc3c12,149042
astrocytoma,F2R,P25116,Proteinase-activated receptor 1 (PAR-1) (Coagulation factor II receptor) (Thrombin receptor),16.77,0.04,Kd,NC(=N)NCCC[C@H](NC(=O)[C@H](Cc1ccc(F)c(F)c1)NC(=O)Nc1ccc2c(CN3CCCC3)cn(Cc3c(Cl)cccc3Cl)c2c1)C(=O)NCc1ccncc1,50098214,0.15,Kd,NCC[C@H](NC(=O)[C@H](Cc1ccc(F)c(F)c1)NC(=O)Nc1ccc2c(CN3CCCC3)nn(Cc3c(Cl)cccc3Cl)c2c1)C(=O)NCc1ccccc1,50098215,0.44,Kd,NC(CCN[C@H](NC(=O)[C@H](Cc1ccc(F)c(F)c1)NC(=O)Nc1ccc2c(CN3CCCC3)cn(Cc3c(Cl)cccc3Cl)c2c1)C(=O)NCc1ccccc1)C(O)=O,50098216
astrocytoma,SERPINE1,P05121,Plasminogen activator inhibitor 1 (PAI) (PAI-1) (Endothelial plasminogen activator inhibitor) (Serpin E1),16.21,3.1,Kd,Oc1cc(cc(O)c1O)C(=O)OC[C@H]1OC(OC(=O)c2cc(O)c(O)c(O)c2)[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H]1OC(=O)c1cc(O)c(O)c(O)c1,92485,3.1,Kd,Oc1cc(cc(O)c1O)C(=O)OC[C@H]1OC(OC(=O)c2cc(O)c(O)c(O)c2)[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H]1OC(=O)c1cc(O)c(O)c(O)c1,92485,5.3,Kd,Oc1cc(cc(O)c1O)C(=O)OCC(COC(=O)c1cc(O)c(O)c(O)c1)OC(=O)c1cc(O)c(O)c(O)c1,92486
astrocytoma,BCHE,P06276,Cholinesterase (EC 3.1.1.8) (Acylcholine acylhydrolase) (Butyrylcholine esterase) (Choline esterase II) (Pseudocholinesterase),13.43,0.0212,IC50,Fc1ccc(cc1)C(=O)NCCCNc1c2CCCCc2nc2ccccc12,50349922,0.0267,IC50,Nc1c2CCCCc2nc2ccccc12,8961,0.03,IC50,CN(CCCNC(=O)CCc1c[nH]c2ccccc12)CCCNc1c2CCCCc2nc2ccccc12,9027
astrocytoma,EZH2,Q15910,Histone-lysine N-methyltransferase EZH2 (EC 2.1.1.43) (ENX-1) (Enhancer of zeste homolog 2) (Lysine N-methyltransferase 6),11.63,0.5,Ki,CC[C@H](C)n1cc(C)c2c(cc(cc12)-c1ccc(nc1)N1CCNCC1)C(=O)NCc1c(C)cc(C)[nH]c1=O,50017293,0.5,Ki,CC[C@H](C)n1cc(C)c2c(cc(cc12)-c1ccc(nc1)N1CCNCC1)C(=O)NCc1c(C)cc(C)[nH]c1=O,50017293,0.5,Ki,CC[C@H](C)n1cc(C)c2c(cc(cc12)-c1ccc(nc1)N1CCNCC1)C(=O)NCc1c(C)cc(C)[nH]c1=O,50017293
astrocytoma,PBEF1,P43490,Nicotinamide phosphoribosyltransferase (NAmPRTase) (Nampt) (EC 2.4.2.12) (Pre-B-cell colony-enhancing factor 1) (Pre-B cell-enhancing factor) (Visfatin),11.38,0.07,IC50,Clc1ccc(OCCCCCCNC(NC#N)=Nc2ccncc2)cc1,81396,0.14,IC50,O=C(NCCCCC1CCN(CC1)C(=O)c1ccccc1)\C=C\c1cccnc1,81395,0.17,IC50,Cn1c(CN2CCN(CCN)CC2)nc2cc(Cl)c(CN(CC#C)c3ccc(cc3)C(=O)NCc3cccnc3)cc2c1=O,81393
astrocytoma,TTK,P33981,Dual specificity protein kinase TTK (EC 2.7.12.1) (Phosphotyrosine picked threonine-protein kinase) (PYT),10.3,0.2,IC50,Cc1cc(ccc1C(=O)NC1CC1)-n1cnc2c(NCCC(F)(F)F)cc(cc12)-c1ccncc1,236661,0.2,IC50,Cc1cc(ccc1C(=O)NC1CC1)-n1cnc2c(NCC3CCOCC3)cc(Oc3cccc(F)c3F)cc12,236684,0.2,IC50,Cc1cc(ccc1C(=O)NC1CC1)-n1cnc2c(NCCC(F)(F)F)cc(Oc3ccccc3O)cc12,236713
astrocytoma,EGFR,P00533,Epidermal growth factor receptor (EC 2.7.10.1) (Proto-oncogene c-ErbB-1) (Receptor tyrosine-protein kinase erbB-1),9.91,0.003,IC50,Brc1cccc(Nc2ncnc3cc4ccccc4cc23)c1,3585,0.006,IC50,CCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCC,3556,0.006,IC50,CN(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,3604
astrocytoma,CA3,P07451,Carbonic anhydrase 3 (EC 4.2.1.1) (Carbonate dehydratase III) (Carbonic anhydrase III) (CA-III),9.74,1.1,Ki,CC(=O)N=c1sc(nn1C)S(N)(=O)=O,10881,3.1,Ki,CC(=O)Nc1nnc(s1)S(N)(=O)=O,10880,,,,
astrocytoma,MMP16,P51512,Matrix metalloproteinase-16 (MMP-16) (EC 3.4.24.-) (MMP-X2) (Membrane-type matrix metalloproteinase 3) (MT-MMP 3) (MTMMP3) (Membrane-type-3 matrix metalloproteinase) (MT3-MMP) (MT3MMP),9.15,0.31,IC50,CC(C)[C@@H](N(CC(=O)NCCc1ccc(cc1)S(N)(=O)=O)S(=O)(=O)c1ccc(Oc2ccccc2)cc1)C(=O)NO,50246599,1.0,IC50,NS(=O)(=O)c1ccc(CCNC(=O)CN(CC(=O)NO)S(=O)(=O)c2ccc(Oc3ccccc3)cc2)cc1,50241252,1.6,IC50,CC(C)[C@@H](N(CC(O)=O)S(=O)(=O)c1ccc(Oc2ccccc2)cc1)C(=O)NO,50273426
astrocytoma,BUB1,O43683,Mitotic checkpoint serine/threonine-protein kinase BUB1 (hBUB1) (EC 2.7.11.1) (BUB1A),8.73,5.0,IC50,CCOc1cc(F)c(Cn2nc(c3CCCc23)-c2ncc(OC)c(Nc3ccncc3)n2)c(F)c1,50011209,6.0,IC50,CCOc1cc(F)c(Cn2nc(c3CCCc23)-c2ncc(OCC3(CO)COC3)c(Nc3ccncc3)n2)c(F)c1,50011201,9.0,IC50,CCOc1cc(F)c(Cn2nc(c3CCCc23)-c2ncc(OCCN(C)C)c(Nc3ccncc3)n2)c(F)c1,50011202
