Astrocytoma,,
202018_s_at,LTF,59.47
205029_s_at,FABP7,37.92
204914_s_at,SOX11,37.21
205347_s_at,TMSL8,33.00
210067_at,AQP4,30.80
201291_s_at,TOP2A,29.98
37892_at,COL11A1,29.16
209395_at,CHI3L1,28.63
221898_at,PDPN,27.87
206172_at,IL13RA2,27.10
206157_at,PTX3,25.50
201292_at,TOP2A,25.22
203213_at,CDC2,23.38
204915_s_at,SOX11,23.32
205227_at,IL1RAP,23.07
215446_s_at,LOX,20.98
209988_s_at,ASCL1,20.49
219148_at,PBK,20.05
214456_x_at,SAA1,20.03
209396_s_at,CHI3L1,19.60
204913_s_at,SOX11,18.99
205048_s_at,PSPH,18.65
204170_s_at,CKS2,17.78
218585_s_at,DTL,17.70
210066_s_at,AQP4,17.41
204879_at,PDPN,17.18
216841_s_at,SOD2,16.83
203989_x_at,F2R,16.77
203362_s_at,MAD2L1,16.45
202628_s_at,SERPINE1,16.21
213258_at,TFPI,15.97
206584_at,LY96,15.27
202917_s_at,S100A8,15.16
218039_at,NUSAP1,14.69
203820_s_at,IMP-3,14.62
204298_s_at,LOX,14.30
203819_s_at,IMP-3,14.02
201890_at,RRM2,13.92
219918_s_at,ASPM,13.83
210809_s_at,POSTN,13.82
205433_at,BCHE,13.43
206026_s_at,TNFAIP6,13.30
219607_s_at,MS4A4A,13.22
217999_s_at,---,13.22
203283_s_at,HS2ST1,13.14
210875_s_at,TCF8,13.02
209987_s_at,ASCL1,13.00
218883_s_at,MLF1IP,12.61
206102_at,PSF1,12.41
217562_at,FAM5C,12.22
205943_at,TDO2,12.12
219410_at,TMEM45A,12.10
205194_at,PSPH,11.95
202376_at,SERPINA3,11.86
212909_at,LYPD1,11.79
214770_at,MSR1,11.67
201012_at,ANXA1,11.64
203358_s_at,EZH2,11.63
219787_s_at,ECT2,11.55
202237_at,NNMT,11.54
204244_s_at,ASK,11.50
202903_at,LSM5,11.47
217739_s_at,PBEF1,11.38
220239_at,KLHL7,11.05
208470_s_at,HP /// HPR,11.04
215049_x_at,CD163,10.91
202718_at,IGFBP2,10.70
215870_s_at,PLA2G5,10.66
209882_at,RIT1,10.62
206432_at,HAS2,10.48
219196_at,SCG3,10.41
219037_at,CGI-115,10.40
207039_at,CDKN2A,10.39
209821_at,C9orf26,10.36
213668_s_at,SOX4,10.32
204641_at,NEK2,10.32
204822_at,TTK,10.30
221886_at,DENND2A,10.20
209732_at,CLEC2B,10.20
201417_at,SOX4,10.20
204851_s_at,DCX,10.11
204146_at,RAD51AP1,9.98
219537_x_at,DLL3,9.95
201984_s_at,EGFR,9.91
213712_at,ELOVL2,9.86
205572_at,ANGPT2,9.83
202503_s_at,KIAA0101,9.82
218541_s_at,C8orf4,9.79
204865_at,CA3,9.74
219643_at,LRP1B,9.65
221107_at,CHRNA9,9.62
209628_at,NXT2,9.53
201367_s_at,ZFP36L2,9.51
222379_at,KCNE4,9.45
206364_at,KIF14,9.21
210091_s_at,DTNA,9.16
207012_at,MMP16,9.15
203535_at,S100A9,9.10
219230_at,FLJ10970,9.03
205363_at,BBOX1,8.99
209757_s_at,MYCN,8.97
204850_s_at,DCX,8.95
202843_at,DNAJB9,8.92
207165_at,HMMR,8.91
214974_x_at,CXCL5,8.86
209754_s_at,TMPO,8.86
209642_at,BUB1,8.73
206025_s_at,TNFAIP6,8.73
