breast,Gene,Uniprot,Protein,Overexpression,Affinity 000,Type 000,SMILES 000,ID 000,Affinity 001,Type 001,SMILES 001,ID 001,Affinity 002,Type 002,SMILES 002,ID 002
breast,MELK,Q14680,Maternal embryonic leucine zipper kinase (hMELK) (EC 2.7.11.1) (Protein kinase Eg3) (pEg3 kinase) (Protein kinase PK38) (hPK38) (Tyrosine-protein kinase MELK) (EC 2.7.10.2),12.94,0.3,IC50,CN(C)[C@H]1CC[C@@H](CC1)Nc1c(cnc2ccc(nc12)-c1cc(Cl)c(O)c(Cl)c1)C(C)=O,166059,0.3,IC50,CN(C)C[C@H]1CC[C@@H](CC1)Nc1c(cnc2ccc(nc12)-c1cc(Cl)c(O)c(Cl)c1)C(=O)CO,166100,0.3,IC50,Fc1cc(ccc1-n1cc(cn1)-c1ccncc1OCC1CCNCC1)N1CCOCC1,50185443
breast,CDC2,P06493,Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (EC 2.7.11.23) (Cell division control protein 2 homolog) (Cell division protein kinase 1) (p34 protein kinase),10.83,0.1,IC50,NS(=O)(=O)c1ccc(Nc2ncc(c(Nc3ccc4nc[nH]c4c3)n2)C(F)(F)F)cc1,50164702,0.23,IC50,O=C1Cc2c([nH]c3ccc(cc23)N(=O)=O)-c2cc(CCC#N)ccc2N1,84533,0.49,IC50,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13,2579
breast,STK6,O14965,Aurora kinase A (EC 2.7.11.1) (Aurora 2) (Aurora/IPL1-related kinase 1) (ARK-1) (Aurora-related kinase 1) (hARK1) (Breast tumor-amplified kinase) (Serine/threonine-protein kinase 15) (Serine/threonine-protein kinase 6) (Serine/threonine-protein kinase aurora-A),10.16,0.0006,Ki,CN1CCN(CC1)c1cc(Nc2cc(C)n[nH]2)nc(Sc2ccc(NC(=O)C3CC3)cc2)n1,13534,0.01,IC50,C[C@@H](Nc1ncnc2c(cccc12)C(N)=O)c1cccc(NC(=O)c2ccc(F)c(O)c2)c1,116986,0.0155,Ki,OC(=O)[C@]1(Cc2cccc(Nc3nccs3)n2)CCC(CC1)Oc1cccc(Cl)c1F,109209
breast,FN1,P02751,Fibronectin (FN) (Cold-insoluble globulin) (CIG) [Cleaved into: Anastellin; Ugl-Y1; Ugl-Y2; Ugl-Y3],8.39,5.5,Kd,CO[C@@H]1[C@@H](COS([O-])(=O)=O)O[C@H](O[C@H]2[C@H](O)[C@@H](OS([O-])(=O)=O)[C@H](OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CNc3cccc(NC(=O)CCCCC4CCSS4)c3)O[C@H]2C([O-])=O)[C@H](NS([O-])(=O)=O)[C@H]1O,50375221,6.5,Kd,CO[C@@H]1[C@@H](COS([O-])(=O)=O)O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CNc3cccc(NC(=O)CCCCC4CCSS4)c3)O[C@@H]2C([O-])=O)[C@H](NS([O-])(=O)=O)[C@H]1O,50375223,,,,
breast,TTK,P33981,Dual specificity protein kinase TTK (EC 2.7.12.1) (Phosphotyrosine picked threonine-protein kinase) (PYT),6.74,0.2,IC50,Cc1cc(ccc1C(=O)NC1CC1)-n1cnc2c(NCCC(F)(F)F)cc(cc12)-c1ccncc1,236661,0.2,IC50,Cc1cc(ccc1C(=O)NC1CC1)-n1cnc2c(NCC3CCOCC3)cc(Oc3cccc(F)c3F)cc12,236684,0.2,IC50,Cc1cc(ccc1C(=O)NC1CC1)-n1cnc2c(NCCC(F)(F)F)cc(Oc3ccccc3O)cc12,236713
breast,CDKN3,Q00526,Cyclin-dependent kinase 3 (EC 2.7.11.22) (Cell division protein kinase 3),6.28,3.0,Kd,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13,2579,3.2,Kd,COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CCN(CC2)S(C)(=O)=O)nc1N,12621,6.9,IC50,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13,2579
breast,BUB1,O43683,Mitotic checkpoint serine/threonine-protein kinase BUB1 (hBUB1) (EC 2.7.11.1) (BUB1A),5.4,5.0,IC50,CCOc1cc(F)c(Cn2nc(c3CCCc23)-c2ncc(OC)c(Nc3ccncc3)n2)c(F)c1,50011209,6.0,IC50,CCOc1cc(F)c(Cn2nc(c3CCCc23)-c2ncc(OCC3(CO)COC3)c(Nc3ccncc3)n2)c(F)c1,50011201,9.0,IC50,CCOc1cc(F)c(Cn2nc(c3CCCc23)-c2ncc(OCCN(C)C)c(Nc3ccncc3)n2)c(F)c1,50011202
breast,KIF11,P52732,Kinesin-like protein KIF11 (Kinesin-like protein 1) (Kinesin-like spindle protein HKSP) (Kinesin-related motor protein Eg5) (Thyroid receptor-interacting protein 5) (TR-interacting protein 5) (TRIP-5),5.09,0.14,IC50,CC(C)[C@@H](N(CCCN)C(=O)c1ccc(C)cc1)c1oc2cc(Cl)ccc2c(=O)c1Cc1ccccc1,50427294,0.14,IC50,CC(C)[C@@H](N(CCCN)C(=O)c1ccc(C)cc1)c1oc2cc(Cl)ccc2c(=O)c1Cc1ccccc1,50427294,0.18,IC50,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]1(C)[C@@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C([C@@H](O)C1=O)C2(C)C,36351
breast,EZH2,Q15910,Histone-lysine N-methyltransferase EZH2 (EC 2.1.1.43) (ENX-1) (Enhancer of zeste homolog 2) (Lysine N-methyltransferase 6),4.18,0.5,Ki,CC[C@H](C)n1cc(C)c2c(cc(cc12)-c1ccc(nc1)N1CCNCC1)C(=O)NCc1c(C)cc(C)[nH]c1=O,50017293,0.5,Ki,CC[C@H](C)n1cc(C)c2c(cc(cc12)-c1ccc(nc1)N1CCNCC1)C(=O)NCc1c(C)cc(C)[nH]c1=O,50017293,0.5,Ki,CC[C@H](C)n1cc(C)c2c(cc(cc12)-c1ccc(nc1)N1CCNCC1)C(=O)NCc1c(C)cc(C)[nH]c1=O,50017293
breast,PGF,P49763,Placenta growth factor (PlGF),4.06,0.1,Kd,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@@H](Cc2cnc[nH]2)NC(=O)C(C)(C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCNC(=O)COCC(=O)Nc2ccc(CCC(=O)N3CCC3=O)cc2)NC1=O)C(=O)N[C@H]([C@@H](C)O)C(=O)N[C@@H](CCCCNC(C)=O)C(=O)NC(C)(C)C(N)=O)NC(=O)[C@@H](NC(=O)[C@H](CCC(O)=O)N(C)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](C)NC(C)=O)C(C)C,50339212,0.3,Kd,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCNC(=O)COCC(=O)Nc2ccc(CCC(=O)N3CCC3=O)cc2)NC1=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O)NC(=O)[C@@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](Cc1ccccc1)NC(C)=O)C(C)C,50339209,0.3,Kd,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCNC(=O)COCC(=O)Nc2ccc(CCC(=O)N3CCC3=O)cc2)NC1=O)C(=O)N[C@H]([C@@H](C)O)C(=O)N[C@H](CCCN=C(N)N)C(=O)N[C@H](Cc1ccc(O)cc1)C(N)=O)NC(=O)[C@@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(O)=O)NC(C)=O)C(C)C,50339210
