Colon,,
37892_at,COL11A1,34.63
209792_s_at,KLK10,21.86
206224_at,CST1,19.57
211506_s_at,IL8,18.94
217428_s_at,COL10A1,18.81
210511_s_at,INHBA,18.66
204320_at,COL11A1,17.67
202859_x_at,IL8,16.76
214974_x_at,CXCL5,16.42
204475_at,MMP1,14.96
203256_at,CDH3,13.87
202286_s_at,TACSTD2,13.25
209395_at,CHI3L1,12.39
209875_s_at,SPP1,11.86
204259_at,MMP7,11.54
205941_s_at,COL10A1,11.38
218963_s_at,KRT23,10.54
209955_s_at,FAP,10.32
204885_s_at,MSLN,10.30
207850_at,CXCL3,10.17
212942_s_at,KIAA1199,10.10
205713_s_at,COMP,9.65
205910_s_at,CEL,8.71
204015_s_at,DUSP4,8.55
206354_at,SLCO1B3,7.83
202952_s_at,ADAM12,7.70
209396_s_at,CHI3L1,7.43
205828_at,MMP3,7.31
204855_at,SERPINB5,6.93
213790_at,ADAM12,6.80
204014_at,DUSP4,6.61
206286_s_at,TDGF1,6.31
205422_s_at,ITGBL1,6.23
204470_at,CXCL1,6.12
202404_s_at,COL1A2,6.01
212353_at,SULF1,6.00
211122_s_at,CXCL11,5.94
210163_at,CXCL11,5.94
213880_at,LGR5,5.93
218872_at,TSC,5.90
203878_s_at,MMP11,5.79
204051_s_at,SFRP4,5.75
206023_at,NMU,5.70
210319_x_at,MSX2,5.67
207457_s_at,LY6G6D,5.65
211708_s_at,SCD,5.64
204933_s_at,TNFRSF11B,5.47
202504_at,TRIM29,5.46
204286_s_at,PMAIP1,5.45
202311_s_at,COL1A1,5.37
201262_s_at,BGN,5.18
205890_s_at,UBD,5.10
204285_s_at,PMAIP1,5.07
201340_s_at,ENC1,5.02
211603_s_at,ETV4,4.95
203798_s_at,VSNL1,4.91
209309_at,AZGP1,4.88
217875_s_at,TMEPAI,4.85
219795_at,SLC6A14,4.85
204463_s_at,EDNRA,4.83
204580_at,MMP12,4.81
212531_at,LCN2,4.71
203417_at,MFAP2,4.59
203510_at,MET,4.55
221898_at,PDPN,4.50
217996_at,PHLDA1,4.47
218182_s_at,CLDN1,4.41
205472_s_at,DACH1,4.41
217678_at,SLC7A11,4.37
204052_s_at,SFRP4,4.37
217997_at,PHLDA1,4.35
203820_s_at,IMP-3,4.31
205767_at,EREG,4.26
215646_s_at,CSPG2,4.26
205681_at,BCL2A1,4.24
219555_s_at,BM039,4.23
209921_at,SLC7A11,4.22
219787_s_at,ECT2,4.21
209774_x_at,CXCL2,4.20
201506_at,TGFBI,4.19
211571_s_at,CSPG2,4.15
221577_x_at,GDF15,4.14
204619_s_at,CSPG2,4.11
203961_at,NEBL,4.07
211002_s_at,TRIM29,4.05
219727_at,DUOX2,4.04
203962_s_at,NEBL,4.04
202310_s_at,COL1A1,4.02
205499_at,SRPX2,4.00
