,Gene,Uniprot,Protein,Overexpression,Affinity 000,Type 000,SMILES 000,ID 000,Affinity 001,Type 001,SMILES 001,ID 001,Affinity 002,Type 002,SMILES 002,ID 002
0,MMP12,P39900,Macrophage metalloelastase (MME) (EC 3.4.24.65) (Macrophage elastase) (ME) (hME) (Matrix metalloproteinase-12) (MMP-12),14.36,0.1,IC50,CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1ccc(cc21)-c1ccc(C)o1)C(O)=O,50360964,0.1,IC50,CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1ccc(cc21)-c1ccc(Cl)o1)C(O)=O,50360965,0.19,Ki,NC(=O)[C@@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)C(Cc1cc(no1)-c1ccc(cc1)-c1cccc(Cl)c1)CP(O)(=O)c1ccc(Br)cc1,92441
1,EPHA3,P29320,Ephrin type-A receptor 3 (EC 2.7.10.1) (EPH-like kinase 4) (EK4) (hEK4) (HEK) (Human embryo kinase) (Tyrosine-protein kinase TYRO4) (Tyrosine-protein kinase receptor ETK1) (Eph-like tyrosine kinase 1),9.84,0.093,Kd,Cc1nc(Nc2ncc(s2)C(=O)Nc2c(C)cccc2Cl)cc(n1)N1CCN(CCO)CC1,13216,0.09300000000000001,Kd,Cc1nc(Nc2ncc(s2)C(=O)Nc2c(C)cccc2Cl)cc(n1)N1CCN(CCO)CC1,13216,0.1,Kd,Cc1ccc(O)cc1Nc1ccnc(Nc2cccc(c2)C(N)=O)n1,26145
2,SLC7A11,Q9UPY5,Cystine/glutamate transporter (Amino acid transport system xc-) (Calcium channel blocker resistance protein CCBR1) (Solute carrier family 7 member 11) (xCT),9.01,4.0,IC50,COc1ccc(CN2CCN(CC(=O)c3ccc(OC(C)C)c(c3)-n3c(CN4CCN(CC4)C(=O)COc4ccc(Cl)cc4)nc4ccccc4c3=O)CC2)cc1,50126160,10.0,IC50,CC(C)Oc1ccc(cc1-n1c(CN2CCN(CC2)C(=O)COc2ccc(Cl)cc2)nc2ccccc2c1=O)C(=O)CN1CCOCC1,50126156,10.0,IC50,CC(C)Oc1ccc(cc1-n1c(CN2CCN(CC2)C(=O)COc2ccc(Cl)cc2)nc2ccccc2c1=O)C(=O)CN1CCN(CC=C)CC1,50126159
3,AGTR2,P50052,Type-2 angiotensin II receptor (Angiotensin II type-2 receptor) (AT2),8.65,0.08,Ki,CC[C@@H](C)[C@H](N1Cc2cccc(NC(=O)[C@@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)CC(O)=O)C(C)C)c2N[C@@H](Cc2ccc(O)cc2)C1=O)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(O)=O,50370575,0.12,IC50,CCCCC(=O)Nc1ccc(Br)c(c1)-n1nc(CC)n(Cc2ccc(cc2F)-c2ccccc2S(=O)(=O)NC(=O)OC(C)(C)C)c1=O,50030711,0.14,Ki,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC)C(C)C)[C@@H](C)CC)C(O)=O,50030815
4,ICK,Q9UPZ9,Serine/threonine-protein kinase ICK (EC 2.7.11.1) (Intestinal cell kinase) (hICK) (Laryngeal cancer kinase 2) (LCK2) (MAK-related kinase) (MRK),6.9,0.69,Kd,CN1CC[C@@H]([C@H](O)C1)c1c(O)cc(O)c2c1oc(cc2=O)-c1ccccc1Cl,5655,2.2,Kd,COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CCN(CC2)S(C)(=O)=O)nc1N,12621,8.3,Kd,Clc1cccc(Cl)c1C(=O)Nc1cn[nH]c1C(=O)NC1CCNCC1,24654
5,PTGER4,P35408,Prostaglandin E2 receptor EP4 subtype (PGE receptor EP4 subtype) (PGE2 receptor EP4 subtype) (Prostanoid EP4 receptor),6.69,1.4e-07,EC50,C[C@@H](CCCCc1ccccc1)[C@H](O)\C=C\[C@H]1CC(F)(F)C(=O)N1CCCc1ccc(s1)C(O)=O,190292,2.7000000000000004e-06,EC50,C[C@@H](CCCCCc1ccccc1)[C@H](O)\C=C\[C@H]1CC(F)(F)C(=O)N1CCCc1ccc(s1)C(O)=O,190296,0.002,EC50,CCCC[C@H](O)\C=C\[C@H]1CCC(=O)N1CCc1ccc(cc1)C(O)=O,50213980
6,GGH,Q92820,Gamma-glutamyl hydrolase (EC 3.4.19.9) (Conjugase) (GH) (Gamma-Glu-X carboxypeptidase),6.64,0.93,Ki,CP(O)(=O)N[C@@H](CCC(O)=O)C(O)=O,50070541,0.95,Ki,OC(=O)CC[C@H](NP(O)(=O)c1ccccc1)C(O)=O,50070540,,,,
7,CHEK1,O14757,Serine/threonine-protein kinase Chk1 (EC 2.7.11.1) (CHK1 checkpoint homolog) (Cell cycle checkpoint kinase) (Checkpoint kinase-1),6.61,0.03,IC50,COc1cc(CCNCc2ccc(cc2)N2CCNCC2)c(Cl)cc1NC(=O)Nc1cnc(cn1)C#N,120931,0.03,IC50,CC(=O)N1CCN(CC1)c1ccnc(Nc2ncc(s2)-c2cncc(c2)C(=O)NCCN)c1,50379643,0.03,IC50,CS(=O)(=O)N1CCN(CC1)c1ccnc(Nc2ncc(s2)-c2cncc(c2)C(=O)NCCN)c1,50379642
8,CTSS,P25774,Cathepsin S (EC 3.4.22.27),6.24,0.028999999999999998,IC50,FC(F)(F)c1ccc(CNC(=O)c2cnc(nc2N2CC[C@@H](C2)S(=O)(=O)c2ccccc2C(F)(F)F)C#N)cc1,2678,0.052000000000000005,IC50,FC(F)(F)c1cc(nc(n1)C#N)N1CC[C@@H](C1)S(=O)(=O)c1ccc(cc1Cl)-n1cccn1,101469,0.055999999999999994,IC50,FC(F)(F)c1cc(nc(n1)C#N)N1CC[C@@H](C1)S(=O)(=O)c1ccc(cc1Cl)N1CCN(CC1)C1CC1,101470
9,OXTR,P30559,Oxytocin receptor (OT-R),6.06,0.01,EC50,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CCCSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O)C(=O)N(CCCO)CC(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O,50044742,0.01,EC50,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O)C(=O)N(CC(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O)Cc1cccs1,50044752,0.01,EC50,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O)C(=O)N(CC(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O)Cc1ccc(F)cc1,50044761
10,DCAMKL1,O15075,Serine/threonine-protein kinase DCLK1 (EC 2.7.11.1) (Doublecortin domain-containing protein 3A) (Doublecortin-like and CAM kinase-like 1) (Doublecortin-like kinase 1),5.88,1.2,Kd,COc1cc(ccc1Nc1ncc2N(C)C(=O)c3ccccc3N(C)c2n1)N1CCN(C)CC1,50337127,4.9,Kd,COc1cc(ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1)N1CCC(CC1)N1CCN(C)CC1,50242742,,,,
11,TTK,P33981,Dual specificity protein kinase TTK (EC 2.7.12.1) (Phosphotyrosine picked threonine-protein kinase) (PYT),5.82,0.2,IC50,Cc1cc(ccc1C(=O)NC1CC1)-n1cnc2c(NCCC(F)(F)F)cc(cc12)-c1ccncc1,236661,0.2,IC50,Cc1cc(ccc1C(=O)NC1CC1)-n1cnc2c(NCC3CCOCC3)cc(Oc3cccc(F)c3F)cc12,236684,0.2,IC50,Cc1cc(ccc1C(=O)NC1CC1)-n1cnc2c(NCCC(F)(F)F)cc(Oc3ccccc3O)cc12,236713
12,PBK,Q96KB5,Lymphokine-activated killer T-cell-originated protein kinase (EC 2.7.12.2) (Cancer/testis antigen 84) (CT84) (MAPKK-like protein kinase) (Nori-3) (PDZ-binding kinase) (Spermatogenesis-related protein kinase) (SPK) (T-LAK cell-originated protein kinase),5.09,0.38,IC50,NCc1ccc(cc1)-c1c(O)ccc2[nH]c(=O)c3sccc3c12,148993,0.43,IC50,CC(C)(N)c1ccc(cc1)-c1c(O)ccc2[nH]c(=O)c3sccc3c12,149054,0.5,IC50,NCCc1ccc(cc1F)-c1c(O)ccc2[nH]c(=O)c3sccc3c12,149042
13,DCK,P27707,Deoxycytidine kinase (dCK) (EC 2.7.1.74),5.04,0.5,Ki,CCCc1sc(nc1CSc1nc(N)cc(N)n1)-c1ccc(OC)c(OCCO)c1,50440176,0.5,Ki,CCCc1sc(nc1CSc1nc(N)cc(N)n1)-c1ccc(OC)c(OCCNS(C)(=O)=O)c1,50440172,0.5,Ki,CCCc1sc(nc1CSc1nc(N)cc(N)n1)-c1ccc(OC)c(OCCNS(C)(=O)=O)c1,50440172
14,AKR1C3,P42330,"Aldo-keto reductase family 1 member C3 (EC 1.-.-.-) (17-beta-hydroxysteroid dehydrogenase type 5) (17-beta-HSD 5) (3-alpha-HSD type II, brain) (3-alpha-hydroxysteroid dehydrogenase type 2) (3-alpha-HSD type 2) (EC 1.1.1.357) (Chlordecone reductase homolog HAKRb) (Dihydrodiol dehydrogenase 3) (DD-3) (DD3) (Dihydrodiol dehydrogenase type I) (HA1753) (Indanol dehydrogenase) (EC 1.1.1.112) (Prostaglandin F synthase) (PGFS) (EC 1.1.1.188) (Testosterone 17-beta-dehydrogenase 5) (EC 1.1.1.239) (EC 1.1.1.64) (Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase) (EC 1.3.1.20)",4.79,0.09,IC50,CCc1c(CCC(O)=O)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,50427622,0.12,IC50,COc1ccc2n(C(=O)c3ccc(CCl)cc3)c(C)c(CC(O)=O)c2c1,50427628,0.13,IC50,COc1ccc2n(C(=O)c3ccc(Cl)cc3)c(CCC(O)=O)c(C)c2c1,50427620
15,BUB1,O43683,Mitotic checkpoint serine/threonine-protein kinase BUB1 (hBUB1) (EC 2.7.11.1) (BUB1A),4.78,5.0,IC50,CCOc1cc(F)c(Cn2nc(c3CCCc23)-c2ncc(OC)c(Nc3ccncc3)n2)c(F)c1,50011209,6.0,IC50,CCOc1cc(F)c(Cn2nc(c3CCCc23)-c2ncc(OCC3(CO)COC3)c(Nc3ccncc3)n2)c(F)c1,50011201,9.0,IC50,CCOc1cc(F)c(Cn2nc(c3CCCc23)-c2ncc(OCCN(C)C)c(Nc3ccncc3)n2)c(F)c1,50011202
16,YES1,P07947,Tyrosine-protein kinase Yes (EC 2.7.10.2) (Proto-oncogene c-Yes) (p61-Yes),4.64,0.3,Kd,Cc1nc(Nc2ncc(s2)C(=O)Nc2c(C)cccc2Cl)cc(n1)N1CCN(CCO)CC1,13216,0.3,IC50,Cc1cc(cc2nnc(Nc3ccc(OCCN4CCCC4)cc3)nc12)-c1cc(O)ccc1Cl,50221566,0.3,Kd,Cc1nc(Nc2ncc(s2)C(=O)Nc2c(C)cccc2Cl)cc(n1)N1CCN(CCO)CC1,13216
17,CTSL2,O60911,Cathepsin L2 (EC 3.4.22.43) (Cathepsin U) (Cathepsin V),4.61,0.063,Ki,CC(C)C[C@H](NC(=O)c1cc2ccccc2o1)C(=O)N[C@H]1CC[C@@H](C)N(CC1=O)S(=O)(=O)c1ccccn1,19778,1.8,Ki,CC(C)C[C@H](NC(=O)c1cc2ccccc2o1)C(=O)N[C@H]1CCCN(CC1=O)S(=O)(=O)c1ccccn1,19769,2.0,IC50,COCc1nnc(o1)-c1cccc(CC(NC(=O)c2cc(nn2C)C(C)(C)C)C(=O)NCC#N)c1,50414641
18,CDK8,P49336,Cyclin-dependent kinase 8 (EC 2.7.11.22) (EC 2.7.11.23) (Cell division protein kinase 8) (Mediator complex subunit CDK8) (Mediator of RNA polymerase II transcription subunit CDK8) (Protein kinase K35),4.56,0.2,IC50,CNC(=O)c1ccc2cncc(-c3ccc(cc3)-c3cnn(C)c3)c2n1,50189412,0.5,IC50,Cn1cc(cn1)-c1ccc(cc1)-c1cncc2ccc(nc12)C(N)=O,50189417,0.6,IC50,CNC(=O)c1ccc2cncc(-c3ccc(cc3)-c3cnn(C)c3)c2c1,50189435
19,MMP9,P14780,Matrix metalloproteinase-9 (MMP-9) (EC 3.4.24.35) (92 kDa gelatinase) (92 kDa type IV collagenase) (Gelatinase B) (GELB) [Cleaved into: 67 kDa matrix metalloproteinase-9; 82 kDa matrix metalloproteinase-9],4.55,0.01,IC50,COc1ccc(cc1)S(=O)(=O)N(CC(=O)NCC1CCCCC1)C(CCSCc1ccccc1)C(=O)NO,50104000,0.03,IC50,COc1ccc(cc1)S(=O)(=O)N(Cc1cn(CCF)nn1)[C@H](C(C)C)C(=O)NO,50389100,0.048,IC50,CC1(C)SCCN([C@H]1C(=O)NO)S(=O)(=O)c1ccc(Oc2ccncc2)cc1,50082556
