Endometrial,,
202018_s_at,LTF,43.72
37892_at,COL11A1,33.13
204712_at,WIF1,31.34
206373_at,ZIC1,27.00
204653_at,TFAP2A,24.80
205358_at,GRIA2,24.37
217022_s_at,IGHA1 /// IGHA2 /// MGC27165,23.07
204320_at,COL11A1,21.58
212592_at,IGJ,21.44
214974_x_at,CXCL5,21.38
209757_s_at,MYCN,20.20
205278_at,GAD1,19.94
203820_s_at,IMP-3,18.81
215121_x_at,IGL@ /// IGLC1 /// IGLC2 /// IGLV3-25 /// IGLV2-14,18.71
205830_at,CLGN,18.65
203819_s_at,IMP-3,18.44
203535_at,S100A9,18.42
204268_at,S100A2,17.77
215388_s_at,CFH /// CFHL1,16.37
220177_s_at,TMPRSS3,16.10
208470_s_at,HP /// HPR,15.97
32128_at,CCL18,15.43
213492_at,COL2A1,15.40
219683_at,FZD3,15.26
206018_at,FOXG1B,15.01
209395_at,CHI3L1,14.80
209138_x_at,IGLC2,14.44
204580_at,MMP12,14.36
41469_at,PI3,14.14
202917_s_at,S100A8,14.11
211619_s_at,ALPP /// ALPPL2,14.05
205157_s_at,KRT17,13.38
213325_at,PVRL3,13.07
205229_s_at,COCH,12.78
212094_at,PEG10,12.35
203438_at,STC2,12.24
219985_at,HS3ST3A1,12.02
201117_s_at,CPE,11.95
204913_s_at,SOX11,11.90
220625_s_at,ELF5,11.83
206204_at,GRB14,11.51
207981_s_at,ESRRG,10.91
203178_at,GATM,10.82
215379_x_at,IGL@ /// IGLC1 /// IGLC2 /// IGLV3-25 /// IGLV2-14 /// IGLJ3,10.67
204286_s_at,PMAIP1,10.66
203485_at,RTN1,10.57
204623_at,TFF3,10.19
207039_at,CDKN2A,10.19
202904_s_at,LSM5,10.02
209904_at,TNNC1,10.01
214612_x_at,MAGEA6,9.91
206023_at,NMU,9.86
206070_s_at,EPHA3,9.84
211726_s_at,FMO2,9.79
206364_at,KIF14,9.70
214677_x_at,IGL@ /// IGLC1 /// IGLC2 /// IGLV3-25 /// IGLV2-14 /// IGLJ3,9.58
221523_s_at,RRAGD,9.55
219740_at,FLJ12505,9.38
211343_s_at,COL13A1,9.35
222320_at,HRPT2,9.31
218700_s_at,RAB7L1,9.03
217678_at,SLC7A11,9.01
205150_s_at,KIAA0644,8.78
204885_s_at,MSLN,8.78
213424_at,KIAA0895,8.74
216022_at,WNK1,8.71
203705_s_at,FZD7,8.65
207294_at,AGTR2,8.65
205227_at,IL1RAP,8.61
209803_s_at,PHLDA2,8.55
215176_x_at,---,8.51
220394_at,FGF20,8.51
215214_at,IGLV3-25,8.51
202935_s_at,SOX9,8.46
219857_at,C10orf81,8.45
206134_at,ADAMDEC1,8.39
36612_at,KIAA0280,8.36
203840_at,BLZF1,8.21
222321_at,AGTR2,8.21
205943_at,TDO2,8.21
221911_at,ETV1,8.13
205739_x_at,ZNF588,8.10
212909_at,LYPD1,8.09
218663_at,HCAP-G,8.07
211466_at,NFIB,8.02
213747_at,---,8.00
214943_s_at,RBM34,7.99
203706_s_at,FZD7,7.98
214774_x_at,TNRC9,7.84
213172_at,TTC9,7.84
219487_at,FLJ23560,7.84
218875_s_at,FBXO5,7.76
205034_at,CCNE2,7.75
206669_at,GAD1,7.70
215108_x_at,TNRC9,7.70
203924_at,GSTA1,7.66
206307_s_at,FOXD1,7.64
203642_s_at,COBLL1,7.64
212637_s_at,WWP1,7.62
205848_at,GAS2,7.61
214314_s_at,EIF5B,7.61
205280_at,GLRB,7.57
219787_s_at,ECT2,7.54
214415_at,---,7.50
215692_s_at,MPPED2,7.50
205352_at,SERPINI1,7.44
211644_x_at,IGKC,7.36
202823_at,TCEB1,7.35
214156_at,MYRIP,7.34
203548_s_at,LPL,7.34
219493_at,SHCBP1,7.33
216944_s_at,ITPR1,7.31
205543_at,HSPA4L,7.29
220145_at,FLJ21159,7.27
205532_s_at,CDH6,7.19
52285_f_at,C18orf9,7.18
206987_x_at,FGF18,7.15
216518_at,---,7.14
205234_at,SLC16A4,7.12
208025_s_at,HMGA2,7.11
211430_s_at,IGH@ /// IGHG1 /// IGHG2 /// IGHG3 /// IGHM,7.08
219837_s_at,CYTL1,7.08
205472_s_at,DACH1,7.08
216510_x_at,IGHA1 /// IGHD /// IGHG1 /// IGHM /// LOC390714,7.07
219529_at,CLIC3,7.03
215028_at,SEMA6A,6.99
204761_at,USP6NL,6.98
215248_at,GRB10,6.96
204702_s_at,NFE2L3,6.94
206487_at,UNC84A,6.93
214700_x_at,RIF1,6.92
210674_s_at,PCDHA9 /// PCDHAC2 /// PCDHAC1 /// PCDHA13 /// PCDHA12 /// PCDHA11 /// PCDHA10 /// PCDHA8 /// PCDHA7 /// PCDHA6 /// PCDHA5 /// PCDHA4 /// PCDHA3 /// PCDHA2 /// PCDHA1,6.92
203347_s_at,MTF2,6.90
204569_at,ICK,6.90
204591_at,CHL1,6.89
214130_s_at,PDE4DIP,6.86
209551_at,YIPF4,6.86
206884_s_at,SCEL,6.83
39549_at,NPAS2,6.82
204709_s_at,KIF23,6.82
205732_s_at,NCOA2,6.78
204146_at,RAD51AP1,6.77
219983_at,HRASLS,6.76
204641_at,NEK2,6.76
219380_x_at,POLH,6.73
211721_s_at,ZNF551,6.71
204897_at,PTGER4,6.69
203283_s_at,HS2ST1,6.69
209631_s_at,GPR37,6.67
206697_s_at,HP,6.66
203560_at,GGH,6.64
204075_s_at,GlyBP,6.62
205394_at,CHEK1,6.61
210282_at,ZNF198,6.60
215392_at,USP3,6.58
206556_at,CLUL1,6.58
221651_x_at,IGKC /// IGKV1-5,6.57
203177_x_at,TFAM,6.54
217704_x_at,---,6.54
205063_at,SIP1,6.52
205282_at,LRP8,6.51
215567_at,C14orf111,6.51
219990_at,E2F8,6.51
209748_at,SPAST,6.48
214862_x_at,---,6.48
215425_at,BTG3,6.47
209374_s_at,IGHM,6.46
209396_s_at,CHI3L1,6.45
218911_at,YEATS4,6.42
204014_at,DUSP4,6.38
205890_s_at,UBD,6.36
219607_s_at,MS4A4A,6.35
215204_at,SENP6,6.28
