209351_at,KRT14,68.15
201820_at,KRT5,67.20
213796_at,SPRR1A,65.13
206561_s_at,AKR1B10,62.73
209126_x_at,KRT6B,51.98
205916_at,S100A7,49.05
221854_at,PKP1,48.00
213680_at,KRT6B,46.59
204268_at,S100A2,46.14
217626_at,AKR1C1 /// AKR1C2,43.81
207935_s_at,KRT13,43.56
209800_at,KRT16,34.51
209942_x_at,MAGEA3,34.19
208539_x_at,SPRR2B,33.76
206291_at,NTS,33.67
204855_at,SERPINB5,33.05
205157_s_at,KRT17,32.47
203256_at,CDH3,32.24
205064_at,SPRR1B,31.62
204455_at,DST,30.15
212236_x_at,KRT17,27.61
37892_at,COL11A1,27.37
204320_at,COL11A1,26.85
209863_s_at,TP73L,26.15
202575_at,CRABP2,24.35
214612_x_at,MAGEA6,23.29
206239_s_at,SPINK1,21.44
206165_s_at,CLCA2,21.37
41469_at,PI3,20.89
218002_s_at,CXCL14,20.76
206033_s_at,DSC3,20.71
218990_s_at,SPRR3,20.07
215125_s_at,UGT1A10 /// UGT1A8 /// UGT1A7 /// UGT1A6 /// UGT1A5 /// UGT1A9 /// UGT1A4 /// UGT1A1 /// UGT1A3,20.01
206276_at,LY6D,19.78
207126_x_at,UGT1A10 /// UGT1A8 /// UGT1A7 /// UGT1A6 /// UGT1A5 /// UGT1A9 /// UGT1A4 /// UGT1A1 /// UGT1A3,19.70
202504_at,TRIM29,19.56
206400_at,LGALS7,19.43
220057_at,XAGE1,19.32
208596_s_at,UGT1A10 /// UGT1A8 /// UGT1A7 /// UGT1A6 /// UGT1A5 /// UGT1A9 /// UGT1A4 /// UGT1A1 /// UGT1A3,19.24
203691_at,PI3,19.00
205595_at,DSG3,18.75
218960_at,TMPRSS4,18.39
203744_at,HMGB3,18.35
210020_x_at,CALML3,17.88
204532_x_at,UGT1A10 /// UGT1A8 /// UGT1A7 /// UGT1A6 /// UGT1A5 /// UGT1A9 /// UGT1A4 /// UGT1A1 /// UGT1A3,17.10
202831_at,GPX2,16.83
204351_at,S100P,16.66
211756_at,PTHLH,16.64
208502_s_at,PITX1,16.61
204580_at,MMP12,15.77
219936_s_at,GPR87,15.53
213843_x_at,SLC6A8,15.04
201250_s_at,SLC2A1,14.76
205941_s_at,COL10A1,14.66
219271_at,GALNT14,14.65
201387_s_at,UCHL1,14.50
211194_s_at,TP73L,13.90
206094_x_at,UGT1A6,13.62
206504_at,CYP24A1,13.16
217771_at,GOLPH2,12.76
206164_at,CLCA2,12.74
218796_at,C20orf42,12.73
218469_at,GREM1,12.49
205242_at,CXCL13,12.46
204653_at,TFAP2A,12.39
211643_x_at,IGKC,12.15
205680_at,MMP10,12.14
204952_at,LYPD3,11.84
210854_x_at,SLC6A8,11.80
214549_x_at,SPRR1A,11.76
204734_at,KRT15,11.65
213432_at,MUC5B,11.57
210437_at,MAGEA9,11.51
203819_s_at,IMP-3,11.38
205479_s_at,PLAU,11.05
217110_s_at,MUC4,11.05
214254_at,MAGEA4,10.87
202219_at,SLC6A8,10.75
203936_s_at,MMP9,10.72
211633_x_at,---,10.67
202018_s_at,LTF,10.56
210413_x_at,SERPINB4,10.33
216560_x_at,IGLC2,10.30
210052_s_at,TPX2,10.23
217378_x_at,LOC391427,10.23
206166_s_at,CLCA2,10.10
211881_x_at,IGLJ3,10.00
206224_at,CST1,9.97
216401_x_at,IGKC,9.97
204469_at,PTPRZ1,9.90
211634_x_at,IGHM,9.75
216557_x_at,IGHA1 /// IGHG1 /// IGHG3 /// LOC390714,9.74
202597_at,IRF6,9.54
205623_at,ALDH3A1,9.50
214916_x_at,IGH@ /// IGHA1 /// IGHA2 /// IGHD /// IGHG1 /// IGHG2 /// IGHG3 /// IGHM /// MGC27165 /// LOC390714,9.36
217235_x_at,IGLC2,9.35
204988_at,FGB,9.33
204475_at,MMP1,9.33
206912_at,FOXE1,9.30
211635_x_at,IGHV1-69,9.29
203287_at,LAD1,9.29
201416_at,SOX4,9.29
201884_at,CEACAM5,9.19
207039_at,CDKN2A,9.09
60474_at,C20orf42,8.96
210467_x_at,MAGEA12,8.88
220782_x_at,KLK12,8.87
214603_at,MAGEA2 /// MAGEA2B,8.86
210064_s_at,UPK1B,8.85
219010_at,C1orf106,8.83
216918_s_at,DST,8.83
211650_x_at,---,8.80
202705_at,CCNB2,8.79
204023_at,RFC4,8.78
211641_x_at,---,8.76
205890_s_at,UBD,8.75
214973_x_at,IGHD,8.67
219554_at,RHCG,8.57
203878_s_at,MMP11,8.54
206153_at,CYP4F11,8.52
207828_s_at,CENPF,8.49
213721_at,SOX2,8.46
218468_s_at,GREM1,8.42
206134_at,ADAMDEC1,8.37
202712_s_at,CKMT1B /// CKMT1A,8.28
214768_x_at,IGKV1-5,8.28
217480_x_at,LOC339562,8.22
209260_at,SFN,8.18
204942_s_at,ALDH3B2,8.17
217109_at,MUC4,8.17
216984_x_at,IGLC2,8.16
209529_at,PPAP2C,8.13
208650_s_at,CD24,8.10
200606_at,DSP,8.06
202589_at,TYMS,7.99
211361_s_at,SERPINB13,7.98
211639_x_at,---,7.90
210082_at,ABCA4,7.81
204846_at,CP,7.81
217281_x_at,---,7.77
204401_at,KCNN4,7.72
209719_x_at,SERPINB3,7.71
209875_s_at,SPP1,7.69
220393_at,GLULD1,7.68
217428_s_at,COL10A1,7.63
208153_s_at,FAT2,7.60
208161_s_at,ABCC3,7.59
217312_s_at,COL7A1,7.52
206032_at,DSC3,7.49
216576_x_at,---,7.49
206515_at,CYP4F3,7.43
218039_at,NUSAP1,7.42
211002_s_at,TRIM29,7.36
204086_at,PRAME,7.35
205009_at,TFF1,7.34
203213_at,CDC2,7.33
205910_s_at,CEL,7.32
