Melanoma,,
206696_at,GPR143,168.80
221815_at,ABHD2,83.21
215025_at,NTRK3,62.68
63825_at,ABHD2,56.02
206630_at,TYR,50.84
209848_s_at,SILV,50.49
204014_at,DUSP4,49.68
208744_x_at,HSPH1,45.82
202898_at,SDC3,42.00
204857_at,MAD1L1,41.46
213638_at,PHACTR1,40.48
202779_s_at,UBE2S,39.31
206397_x_at,GDF1 /// LASS1,36.93
206582_s_at,GPR56,35.92
208710_s_at,AP3D1,30.65
206470_at,PLXNC1,30.19
206427_s_at,MLANA,27.24
207038_at,SLC16A6,26.92
215311_at,---,26.20
219042_at,LZTS1,25.28
219107_at,BCAN,25.28
203256_at,CDH3,24.88
203348_s_at,ETV5,24.32
216971_s_at,PLEC1,24.11
203109_at,UBE2M,23.70
206462_s_at,NTRK3,22.90
213960_at,---,22.88
204654_s_at,TFAP2A,22.48
200755_s_at,CALU,21.89
201123_s_at,EIF5A,21.50
221577_x_at,GDF15,20.85
202290_at,PDAP1,20.68
202827_s_at,MMP14,19.84
200900_s_at,M6PR,19.68
203300_x_at,AP1S2,19.64
215429_s_at,MGC51082,19.54
217294_s_at,ENO1,19.25
213274_s_at,CTSB,18.54
201043_s_at,ANP32A,18.42
206426_at,MLANA,18.24
202986_at,ARNT2,17.97
204585_s_at,L1CAM,17.97
202479_s_at,TRIB2,17.73
209843_s_at,SOX10,17.60
87100_at,ABHD2,17.44
205174_s_at,QPCT,17.41
218678_at,NES,17.35
219578_s_at,CPEB1,17.32
203381_s_at,APOE,16.92
210138_at,RGS20,16.45
206441_s_at,COMMD4,15.90
214359_s_at,HSPCB,15.77
220178_at,C19orf28,15.75
207144_s_at,CITED1,15.53
216222_s_at,MYO10,15.52
221759_at,G6PC3,15.21
217297_s_at,MYO9B,14.87
213241_at,PLXNC1,14.85
201291_s_at,TOP2A,14.61
209072_at,MBP,14.59
206479_at,TRPM1,14.53
204015_s_at,DUSP4,14.50
205681_at,BCL2A1,14.46
215126_at,---,14.32
209953_s_at,CDC37,14.29
201850_at,CAPG,14.25
210337_s_at,ACLY,14.16
209515_s_at,RAB27A,13.92
218302_at,PSENEN,13.66
200672_x_at,SPTBN1,13.64
205462_s_at,HPCAL1,13.59
212009_s_at,STIP1,13.48
219249_s_at,FKBP10,13.39
217033_x_at,NTRK3,13.39
212574_x_at,C19orf6,13.36
213887_s_at,POLR2E,13.29
206617_s_at,RENBP,13.20
217377_x_at,NTRK3,13.11
209162_s_at,PRPF4,13.09
219143_s_at,RPP25,13.03
218349_s_at,ZWILCH,13.02
204044_at,QPRT,12.88
217188_s_at,C14orf1,12.63
214841_at,CNIH3,12.61
212178_s_at,POM121 /// LOC340318 /// LOC441253,12.55
205321_at,EIF2S3,12.47
204273_at,EDNRB,12.44
211833_s_at,BAX,12.34
207116_s_at,GAPDHS,12.27
213606_s_at,ARHGDIA,12.18
215115_x_at,NTRK3,12.12
203028_s_at,CYBA,12.11
204247_s_at,CDK5,12.06
214326_x_at,JUND,12.05
201101_s_at,BCLAF1,12.00
217799_x_at,UBE2H,11.78
208178_x_at,TRIO,11.65
200628_s_at,WARS,11.62
201411_s_at,PLEKHB2,11.57
214896_at,---,11.48
203751_x_at,JUND,11.47
213324_at,SRC,11.47
201195_s_at,SLC7A5,11.43
208965_s_at,IFI16,11.30
204427_s_at,TMED2,11.27
211672_s_at,ARPC4,11.14
40850_at,FKBP8,11.10
207622_s_at,ABCF2,11.09
219478_at,WFDC1,11.09
215812_s_at,SLC6A8 /// FLJ43855,11.03
209013_x_at,TRIO,11.01
211013_x_at,PML,10.97
220245_at,SLC45A2,10.92
211804_s_at,CDK2,10.92
212897_at,CDC2L6,10.89
219634_at,CHST11,10.86
204933_s_at,TNFRSF11B,10.84
222234_s_at,MGC3101,10.83
203069_at,SV2A,10.81
205957_at,PLXNB3,10.77
201474_s_at,ITGA3,10.74
201167_x_at,ARHGDIA,10.70
200838_at,CTSB,10.68
208750_s_at,ARF1,10.64
215780_s_at,SET /// LOC389168,10.60
209485_s_at,OSBPL1A,10.56
201946_s_at,CCT2,10.52
208677_s_at,BSG,10.48
206376_at,SLC6A15,10.45
222155_s_at,GPR172A,10.41
219555_s_at,BM039,10.38
204584_at,L1CAM,10.38
215807_s_at,PLXNB1,10.36
216212_s_at,DKC1,10.34
209675_s_at,HNRPUL1,10.31
204545_at,PEX6,10.29
212300_at,TXLNA,10.28
200935_at,CALR,10.27
219408_at,PRMT7,10.26
201954_at,ARPC1B,10.19
218260_at,PCIA1,10.18
201732_s_at,CLCN3,10.13
216375_s_at,ETV5,10.09
210042_s_at,CTSZ,10.08
210692_s_at,SLC43A3,10.06
211876_x_at,PCDHGA12 /// PCDHGA11 /// PCDHGA10 /// PCDHGA6 /// PCDHGA5 /// PCDHGA3,10.05
214023_x_at,TUBB-PARALOG,10.00
216602_s_at,FARSLA,9.98
201340_s_at,ENC1,9.95
213008_at,FLJ10719,9.92
202124_s_at,ALS2CR3,9.90
210550_s_at,RASGRF1,9.90
214550_s_at,TNPO3,9.79
211966_at,COL4A2,9.78
207163_s_at,AKT1,9.76
212141_at,MCM4,9.73
203349_s_at,ETV5,9.72
201465_s_at,JUN,9.69
209113_s_at,HMG20B,9.66
202478_at,TRIB2,9.66
218000_s_at,PHLDA1,9.66
209167_at,GPM6B,9.64
212190_at,SERPINE2,9.55
200616_s_at,KIAA0152,9.52
201615_x_at,CALD1,9.42
221851_at,LOC90379,9.38
200806_s_at,HSPD1,9.35
201616_s_at,CALD1,9.35
47550_at,LZTS1,9.25
214671_s_at,ABR,9.25
210974_s_at,AP3D1,9.25
200707_at,PRKCSH,9.25
204709_s_at,KIF23,9.23
201264_at,COPE,9.22
