Prostate,,
209395_at,CHI3L1,26.50
204934_s_at,HPN,22.06
214236_at,CDC27,17.06
206624_at,USP9Y,16.31
202917_s_at,S100A8,15.60
210738_s_at,SLC4A4,15.05
210170_at,PDLIM3,13.16
206858_s_at,HOXC6,12.13
209396_s_at,CHI3L1,11.78
204942_s_at,ALDH3B2,11.72
87100_at,ABHD2,11.34
215392_at,USP3,11.20
203243_s_at,PDLIM5,10.52
217671_at,RFX3,10.36
221424_s_at,OR51E2,10.27
210368_at,PCDHGB4 /// PCDHGA8,10.14
209426_s_at,AMACR,9.94
213975_s_at,LYZ /// LILRB1,9.90
200869_at,RPL18A /// LOC390354,9.88
217704_x_at,---,9.83
209424_s_at,AMACR,9.65
219607_s_at,MS4A4A,9.45
214666_x_at,IREB2,9.41
215786_at,---,9.20
205732_s_at,NCOA2,9.07
222180_at,YES1,8.99
222168_at,ALDH1A3,8.98
204006_s_at,FCGR3A /// FCGR3B,8.94
219856_at,C1orf116,8.92
215204_at,SENP6,8.89
215599_at,SMA4,8.86
209425_at,AMACR,8.81
216109_at,THRAP2,8.69
212806_at,KIAA0367,8.59
222320_at,HRPT2,8.34
222121_at,SGEF,8.30
217487_x_at,FOLH1,8.26
203649_s_at,PLA2G2A,7.95
215385_at,FTO,7.94
214422_at,RAD23B /// LOC131185,7.92
221618_s_at,TAF9L,7.76
215028_at,SEMA6A,7.75
220014_at,LOC51334,7.53
201295_s_at,WSB1,7.52
210739_x_at,SLC4A4,7.37
202662_s_at,ITPR2,7.36
217111_at,AMACR,7.30
209114_at,TSPAN1,7.18
215330_at,FLJ43663,7.17
220380_at,DNASE2B,7.15
220145_at,FLJ21159,7.15
217042_at,RDH11,7.13
211734_s_at,FCER1A,7.11
204623_at,TFF3,7.08
203924_at,GSTA1,7.06
216813_at,---,7.02
215191_at,FBXL11,7.02
220467_at,FLJ21272,6.98
214101_s_at,NPEPPS,6.96
201367_s_at,ZFP36L2,6.95
216682_s_at,FAM48A,6.94
204426_at,TMED2,6.93
219360_s_at,TRPM4,6.92
220038_at,SGK3,6.90
220625_s_at,ELF5,6.87
213684_s_at,PDLIM5,6.82
