kidney,Gene,Uniprot,Protein,Overexpression,Affinity 000,Type 000,SMILES 000,ID 000,Affinity 001,Type 001,SMILES 001,ID 001,Affinity 002,Type 002,SMILES 002,ID 002
kidney,PGF,P49763,Placenta growth factor (PlGF),28.25,0.1,Kd,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@@H](Cc2cnc[nH]2)NC(=O)C(C)(C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCNC(=O)COCC(=O)Nc2ccc(CCC(=O)N3CCC3=O)cc2)NC1=O)C(=O)N[C@H]([C@@H](C)O)C(=O)N[C@@H](CCCCNC(C)=O)C(=O)NC(C)(C)C(N)=O)NC(=O)[C@@H](NC(=O)[C@H](CCC(O)=O)N(C)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](C)NC(C)=O)C(C)C,50339212,0.3,Kd,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCNC(=O)COCC(=O)Nc2ccc(CCC(=O)N3CCC3=O)cc2)NC1=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O)NC(=O)[C@@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](Cc1ccccc1)NC(C)=O)C(C)C,50339209,0.3,Kd,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCNC(=O)COCC(=O)Nc2ccc(CCC(=O)N3CCC3=O)cc2)NC1=O)C(=O)N[C@H]([C@@H](C)O)C(=O)N[C@H](CCCN=C(N)N)C(=O)N[C@H](Cc1ccc(O)cc1)C(N)=O)NC(=O)[C@@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(O)=O)NC(C)=O)C(C)C,50339210
kidney,CA9,Q16790,Carbonic anhydrase 9 (EC 4.2.1.1) (Carbonate dehydratase IX) (Carbonic anhydrase IX) (CA-IX) (CAIX) (Membrane antigen MN) (P54/58N) (Renal cell carcinoma-associated antigen G250) (RCC-associated antigen G250) (pMW1),22.14,0.0067,Kd,CCCS(=O)(=O)c1c(F)c(F)c(c(F)c1NC1CCCCCCC1)S(N)(=O)=O,50163868,0.05,Kd,NS(=O)(=O)c1c(F)c(F)c(c(NC2CCCCCCC2)c1F)S(=O)(=O)CCO,50031588,0.12,Ki,CCOc1nc(Nc2ccc(cc2)S(N)(=O)=O)nc(OCC)n1,50153970
kidney,CTSS,P25774,Cathepsin S (EC 3.4.22.27),15.96,0.028999999999999998,IC50,FC(F)(F)c1ccc(CNC(=O)c2cnc(nc2N2CC[C@@H](C2)S(=O)(=O)c2ccccc2C(F)(F)F)C#N)cc1,2678,0.052000000000000005,IC50,FC(F)(F)c1cc(nc(n1)C#N)N1CC[C@@H](C1)S(=O)(=O)c1ccc(cc1Cl)-n1cccn1,101469,0.055999999999999994,IC50,FC(F)(F)c1cc(nc(n1)C#N)N1CC[C@@H](C1)S(=O)(=O)c1ccc(cc1Cl)N1CCN(CC1)C1CC1,101470
kidney,EDNRA,P25101,Endothelin-1 receptor (Endothelin receptor type A) (ET-A) (ETA-R) (hET-AR),15.54,0.001,Ki,CN(Cc1cc(ccc1-c1ccccc1S(=O)(=O)Nc1onc(C)c1C)-c1ncco1)C(=O)Cc1ccc(cc1)C(F)(F)F,50122692,0.004,Ki,CN(Cc1cc(ccc1-c1ccccc1S(=O)(=O)Nc1onc(C)c1C)-c1ncco1)C(=O)CCc1ccccc1,50122693,0.004,Ki,CN1CCN(Cc2cc(ccc2-c2ccccc2S(=O)(=O)Nc2onc(C)c2C)-c2ncco2)C1=O,50122706
kidney,PLK2,Q9NYY3,Serine/threonine-protein kinase PLK2 (EC 2.7.11.21) (Polo-like kinase 2) (PLK-2) (hPlk2) (Serine/threonine-protein kinase SNK) (hSNK) (Serum-inducible kinase),12.97,0.81,Kd,CC[C@H]1N(C2CCCC2)c2nc(Nc3ccc(cc3OC)C(=O)NC3CCN(C)CC3)ncc2N(C)C1=O,25121,2.0,IC50,Cc1ccccc1Nc1ncc2CCc3c(nn(C)c3-c2n1)C(N)=O,50318085,2.0,Ki,CC(C)(C)Nc1c(Nc2ccnc(Nc3ccc(cc3)-c3ccncc3)n2)c(=O)c1=O,50402020
kidney,SCD,O00767,Acyl-CoA desaturase (EC 1.14.19.1) (Delta(9)-desaturase) (Delta-9 desaturase) (Fatty acid desaturase) (Stearoyl-CoA desaturase) (hSCD1),12.9,0.03,IC50,FC(F)(F)c1cccc2OC3(CCN(CC3)c3ccc(nn3)-c3nnc(Cc4cccnc4)o3)CCc12,50306131,0.03,IC50,FC(F)(F)c1cccc2OC3(CCN(CC3)c3ccc(nn3)-c3nnc(Cc4cccnc4)o3)CCc12,50306131,0.04,IC50,CCNc1ccc(cc1OCCO)C(=O)Nc1ncc(Cc2cccc(c2)C(F)(F)F)s1,50296309
kidney,DPP4,P27487,Dipeptidyl peptidase 4 (EC 3.4.14.5) (ADABP) (Adenosine deaminase complexing protein 2) (ADCP-2) (Dipeptidyl peptidase IV) (DPP IV) (T-cell activation antigen CD26) (TP103) (CD antigen CD26) [Cleaved into: Dipeptidyl peptidase 4 membrane form (Dipeptidyl peptidase IV membrane form); Dipeptidyl peptidase 4 soluble form (Dipeptidyl peptidase IV soluble form)],12.78,0.012,IC50,CN(C)C(=O)[C@H]([C@H](N)C(=O)N1CC[C@H](F)C1)c1ccc(cc1)-c1ccc(F)cc1,50221967,0.05,IC50,CC#CCn1c(nc2n(C)c(=O)n(Cc3nc4cc(F)ccc4s3)c(=O)c12)N1CCC[C@@H](N)C1,205995,0.064,IC50,C[C@H]([C@H](N)C(=O)N1CC[C@H](F)C1)c1ccc(cc1)-c1ccc(F)cc1,50221977
kidney,MGAM,O43451,"Maltase-glucoamylase, intestinal [Includes: Maltase (EC 3.2.1.20) (Alpha-glucosidase); Glucoamylase (EC 3.2.1.3) (Glucan 1,4-alpha-glucosidase)]",11.2,2.3,Ki,C[Si](C)(C)\C=C\CN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,50291029,4.0,Ki,C[Si](C)(\C=C\CN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO)c1ccccc1,50291026,4.9,IC50,CO[C@H]1O[C@H](C)[C@@H](N[C@H]2C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,50405397
kidney,SLC33A1,O00400,Acetyl-coenzyme A transporter 1 (AT-1) (Acetyl-CoA transporter 1) (Solute carrier family 33 member 1),10.04,0.8,IC50,CCCc1c(Cc2ccc(cc2F)-c2ccccc2-c2nc(=O)o[nH]2)c(=O)n([C@H]2CC[C@H](O)CC2)c2ncnn12,107366,0.9,IC50,CCCCc1c(Cc2ccc(cc2F)-c2ccccc2-c2nc(=O)o[nH]2)c(=O)n(C2CCOCC2)c2nc(C)nn12,107347,1.0,IC50,CCCCc1c(Cc2ccc(cc2)-c2ccccc2-c2nc(=O)o[nH]2)c(=O)n(C2CCC(O)CC2)c2ncnn12,107354
kidney,AOC3,Q16853,Membrane primary amine oxidase (EC 1.4.3.21) (Copper amine oxidase) (HPAO) (Semicarbazide-sensitive amine oxidase) (SSAO) (Vascular adhesion protein 1) (VAP-1),9.91,6.9,IC50,CN(Cc1cccc(c1)-c1cnc(nc1)N1CCN(CC1)c1ncc(\C=C\C(O)=O)cc1C)C(=O)CN,128988,7.0,IC50,CN(Cc1cccc(c1)-c1cnc(nc1)N1CCC(=CC1)c1cccnc1)C(=O)CN,129004,9.4,IC50,CN(Cc1cccc(c1)-c1cnc(nc1)N1CCN(CC1)c1ncc(CCC(O)=O)cc1C)C(=O)CN,128992
