prostate,Gene,Uniprot,Protein,Overexpression,Affinity 000,Type 000,SMILES 000,ID 000,Affinity 001,Type 001,SMILES 001,ID 001,Affinity 002,Type 002,SMILES 002,ID 002
prostate,HPN,P05981,Serine protease hepsin (EC 3.4.21.106) (Transmembrane protease serine 1) [Cleaved into: Serine protease hepsin non-catalytic chain; Serine protease hepsin catalytic chain],22.06,0.21,Ki,CC(C)C[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(C)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)c1nccs1,50032934,0.21,Ki,CC(C)C[C@H](NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(C)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)c1nccs1,50032999,0.22,Ki,CC(C)C[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCCN)NC(C)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)c1nccs1,50032936
prostate,YES1,P07947,Tyrosine-protein kinase Yes (EC 2.7.10.2) (Proto-oncogene c-Yes) (p61-Yes),8.99,0.3,Kd,Cc1nc(Nc2ncc(s2)C(=O)Nc2c(C)cccc2Cl)cc(n1)N1CCN(CCO)CC1,13216,0.3,IC50,Cc1cc(cc2nnc(Nc3ccc(OCCN4CCCC4)cc3)nc12)-c1cc(O)ccc1Cl,50221566,0.3,Kd,Cc1nc(Nc2ncc(s2)C(=O)Nc2c(C)cccc2Cl)cc(n1)N1CCN(CCO)CC1,13216
prostate,FOLH1,Q04609,Glutamate carboxypeptidase 2 (EC 3.4.17.21) (Cell growth-inhibiting gene 27 protein) (Folate hydrolase 1) (Folylpoly-gamma-glutamate carboxypeptidase) (FGCP) (Glutamate carboxypeptidase II) (GCPII) (Membrane glutamate carboxypeptidase) (mGCP) (N-acetylated-alpha-linked acidic dipeptidase I) (NAALADase I) (Prostate-specific membrane antigen) (PSM) (PSMA) (Pteroylpoly-gamma-glutamate carboxypeptidase),8.26,0.003,Ki,OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)c1ccc(I)cc1)C(O)=O)C(O)=O,50246899,0.0086,Ki,OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCN(Cc1ccc(Br)cc1)C(=O)c1ccc(nc1)N1CCN(CC1)c1ccc(cc1)N1CCN(CC1)C(=O)c1ccc(C(O)=O)c(c1)-c1c2ccc(O)cc2oc2cc(=O)ccc12)C(O)=O)C(O)=O,50089452,0.01,Ki,OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)c1ccc(I)cc1)C(O)=O)C(O)=O,50246899
prostate,PLA2G2A,P14555,"Phospholipase A2, membrane associated (EC 3.1.1.4) (GIIC sPLA2) (Group IIA phospholipase A2) (Non-pancreatic secretory phospholipase A2) (NPS-PLA2) (Phosphatidylcholine 2-acylhydrolase 2A)",7.95,3.0,IC50,Cc1c(C(=O)C(N)=O)c2c(OCC(O)=O)cccc2n1Cc1ccccc1-c1ccccc1,50055371,3.0,IC50,Cc1c(C(=O)C(N)=O)c2c(OCC(=O)NS(=O)(=O)c3ccccc3)cc3CCCCc3c2n1Cc1ccccc1,50161301,4.0,IC50,CCc1c(C(=O)C(N)=O)c2c(OCC(O)=O)cccc2n1Cc1ccccc1Cc1ccccc1,50055374
prostate,FBXL11,Q9Y2K7,Lysine-specific demethylase 2A (EC 1.14.11.27) (CXXC-type zinc finger protein 8) (F-box and leucine-rich repeat protein 11) (F-box protein FBL7) (F-box protein Lilina) (F-box/LRR-repeat protein 11) (JmjC domain-containing histone demethylation protein 1A) ([Histone-H3]-lysine-36 demethylase 1A),7.02,8.2,Kd,NCc1ccc(CN(CCCCN(O)C(=O)C=CC([O-])=O)C(=S)Nc2ccc(c(c2)C([O-])=O)-c2c3ccc(O)cc3oc3cc(=O)ccc23)cc1,50436040,9.3,Kd,NCc1ccc(CN(CCCCN(O)C(=O)C=CC([O-])=O)C(=S)Nc2ccc(c(c2)C([O-])=O)-c2c3ccc(O)cc3oc3cc(=O)ccc23)cc1,50436040,,,,
prostate,SGK3,Q96BR1,Serine/threonine-protein kinase Sgk3 (EC 2.7.11.1) (Cytokine-independent survival kinase) (Serum/glucocorticoid-regulated kinase 3) (Serum/glucocorticoid-regulated kinase-like),6.9,3.4,Kd,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13,2579,5.8,Kd,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4C(=O)NCc4c4c5ccccc5n2c4c13,50308060,,,,
prostate,PAK2,Q13177,Serine/threonine-protein kinase PAK 2 (EC 2.7.11.1) (Gamma-PAK) (PAK65) (S6/H4 kinase) (p21-activated kinase 2) (PAK-2) (p58) [Cleaved into: PAK-2p27 (p27); PAK-2p34 (p34) (C-t-PAK2)],5.56,1.0,IC50,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13,2579,2.0,Ki,CNc1ncc2cc(-c3ccc(cc3Cl)-n3cccc(C)c3=O)c(=O)n(CCC3(F)CN(C)C3)c2n1,50181451,3.1,Kd,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13,2579
prostate,CX3CR1,P49238,CX3C chemokine receptor 1 (C-X3-C CKR-1) (CX3CR1) (Beta chemokine receptor-like 1) (CMK-BRL-1) (CMK-BRL1) (Fractalkine receptor) (G-protein coupled receptor 13) (V28),5.49,3.9,Ki,CC(C)C[C@H](CO)Nc1nc(S[C@@H](C)c2ccccc2)nc2nc(N)sc12,50432452,4.0,Ki,CC(C)C[C@H](CO)Nc1nc(SCc2ccccc2Br)nc2nc(N)sc12,50432439,4.7,Ki,CC(C)C[C@H](CO)Nc1nc(S[C@@H](C)c2ccccc2F)nc2nc(N)sc12,50432471
prostate,ADAM10,O14672,Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10) (EC 3.4.24.81) (CDw156) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease) (CD antigen CD156c),5.47,6.2,IC50,Cc1ccccc1C1CCN(CC1)S(=O)(=O)CC1(CCN(CC1)C(=O)OC1CCCC1O)C(=O)NO,50229655,6.5,IC50,Cc1cc(ccc1C1CCN(CC1)S(=O)(=O)CC1(CCN(CC1)C(=O)OC[C@@H]1CCCN1)C(=O)NO)C#N,50229651,7.1,IC50,ONC(=O)C1(CS(=O)(=O)N2CCC(=CC2)c2ccccc2)CCN(CC1)C(=O)O[C@H]1CCOC1,50229639
prostate,CCR1,P32246,C-C chemokine receptor type 1 (C-C CKR-1) (CC-CKR-1) (CCR-1) (CCR1) (HM145) (LD78 receptor) (Macrophage inflammatory protein 1-alpha receptor) (MIP-1alpha-R) (RANTES-R) (CD antigen CD191),5.29,0.1,IC50,C[C@H]1CN([C@H](C)CN1Cc1ccc(F)cc1)C(=O)\C=C\c1ccc(Cl)cc1NC(C)=O,50174708,0.36,IC50,CC(=O)Nc1ccc(O)cc1OC[C@@H](O)CN1CCC2(Cc3cc(Cl)ccc3O2)CC1,50430274,0.36,IC50,CC(=O)Nc1ccc(F)cc1OC[C@@H](O)CN1CCC2(Cc3cc(F)ccc3O2)CC1,50430275
